판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,사건종류코드,판결유형,판결요지,선고,판례상세링크
69514,이혼,2002르2578,2003.07.24,서울가정법원,가사,400103,판결: 상고,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=69514&type=HTML&mobileYn=
64786,이혼·재산분할등·위자료,2002므1787,2003.03.25,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=64786&type=HTML&mobileYn=
219661,이혼및재산분할등,2001므718,2002.09.04,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=219661&type=HTML&mobileYn=
71564,이혼 및 재산분할,2001르1745,2002.04.04,서울가정법원,형사,400102,판결：상고기각,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=71564&type=HTML&mobileYn=
81386,이혼,2002므74,2002.03.29,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=81386&type=HTML&mobileYn=
81120,이혼등,2001므1728,2001.12.14,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=81120&type=HTML&mobileYn=
80911,이혼·위자료및재산분할·이혼등,2001므725,2001.09.25,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=80911&type=HTML&mobileYn=
190263,이혼및재산분할등,2000드합6063,2001.07.25,서울가정법원,가사,400103,판결 : 확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=190263&type=HTML&mobileYn=
80642,이혼등,2001므626,2001.06.15,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=80642&type=HTML&mobileYn=
190242,이혼등,2000드단21348,2001.05.29,서울가정법원,가사,400103,판결 : 항소기각·확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=190242&type=HTML&mobileYn=
190243,이혼등,2000르43,2001.04.13,창원지방법원,가사,400103,판결 ： 확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=190243&type=HTML&mobileYn=
80329,이혼등,2000므1561,2001.02.23,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=80329&type=HTML&mobileYn=
190232,이혼등,99드합5446,2000.12.07,서울가정법원,가사,400103,판결 : 확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=190232&type=HTML&mobileYn=
190231,이혼등·부양료,99드단38784,2000.12.05,서울가정법원,가사,400103,판결 : 항소기각·상고,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=190231&type=HTML&mobileYn=
79922,이혼및재산분할,99므906,2000.09.22,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=79922&type=HTML&mobileYn=
79868,이혼등,99므1886,2000.09.05,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=79868&type=HTML&mobileYn=
